Indicateur;Secteur;Année;Valeur;Unité
Valeur ajoutée par branche d'activité;Impôts sur les produits nets de subventions;2018;1134.246493;millions de DH
Valeur ajoutée par branche d'activité;Impôts sur les produits nets de subventions;2019;1211.387706;millions de DH
Valeur ajoutée par branche d'activité;Impôts sur les produits nets de subventions;2020;1122.792644;millions de DH
Valeur ajoutée par branche d'activité;Impôts sur les produits nets de subventions;2021;1326;millions de DH
Valeur ajoutée par branche d'activité;Impôts sur les produits nets de subventions;2022;1263.62659;millions de DH
Valeur ajoutée par branche d'activité;Impôts sur les produits nets de subventions;2023;1324.015923;millions de DH
Valeur ajoutée par branche d'activité;Produit intérieur brut de la région;2014;12138.81846;millions de DH
Valeur ajoutée par branche d'activité;Produit intérieur brut de la région;2015;13468.435564;millions de DH
Valeur ajoutée par branche d'activité;Produit intérieur brut de la région;2016;14620.757844;millions de DH
Valeur ajoutée par branche d'activité;Produit intérieur brut de la région;2017;15633.04497;millions de DH
Valeur ajoutée par branche d'activité;Produit intérieur brut de la région;2018;16402.44703;millions de DH
Valeur ajoutée par branche d'activité;Produit intérieur brut de la région;2019;17533.24769;millions de DH
Valeur ajoutée par branche d'activité;Produit intérieur brut de la région;2020;18013.6009;millions de DH
Valeur ajoutée par branche d'activité;Produit intérieur brut de la région;2021;19290;millions de DH
Valeur ajoutée par branche d'activité;Produit intérieur brut de la région;2022;20051.855831;millions de DH
Valeur ajoutée par branche d'activité;Produit intérieur brut de la région;2023;21086.054958;millions de DH
